_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684a6817c11929bdd1fcebfb,一楼带院子！品质小区，中心位一梯两户，业主置换诚售，满五年,闵行梅陇罗阳路568弄,53.46㎡,39095元/㎡,1998年建造,1室1厅1卫,低层(共6层),209万,南满五年近地铁绿化率高,南
684a681fc11929bdd1fcebfc,红旗四街坊 南北通透 52平 简单装修 看房方便 有钥匙,"闵行老闵行景谷路192弄,景谷路206弄,景谷路176弄,凤庆路1061弄,碧江路502弄",52.5㎡,26477元/㎡,1994年建造,2室1厅1卫,低层(共6层),139万,南北满五年近地铁,南北
684a6822c11929bdd1fcebfd,花园别墅，小区中心位置，房东 诚卖，可随意D Y设计,闵行春申伟业路388弄,383.48㎡,52154元/㎡,2004年建造,5室2厅3卫,共1层,2000万,南北房东直卖满五年车位充足,南北
684a6823c11929bdd1fcebfe,中房森林大独栋别墅！钢混结构装修才省钱！房主诚意卖！随时看房,闵行马桥昆阳路3388弄,480.43㎡,53702元/㎡,2008年建造,6室3厅4卫,共3层,2580万,南满五年绿化率高,南
684a6825c11929bdd1fcebff,新上！本周必卖（送户，产权清晰好过户）租金4500，送车位,闵行虹桥虹中路2弄,21㎡,24762元/㎡,2015年建造,2室2厅1卫,中层(共10层),52万,南北满五年近地铁车位充足,南北
684a682cc11929bdd1fcec00,爱博二村 精装可拎包入住 医疗配套成熟 商业配套齐全,闵行华漕申滨路1051弄,59.37㎡,37056元/㎡,2009年建造,1室1厅1卫,中层(共13层),220万,南北满五年绿化率高户型方正,南北
684a682cc11929bdd1fcec01,通海 区是商品房小区，超鸡高性价比的二室二厅住家装拎包住,闵行吴泾剑川路201弄,92.71㎡,26427元/㎡,1998年建造,2室2厅1卫,高层(共6层),245万,南北满五年,南北
684a682cc11929bdd1fcec02,明泉璞院(别墅) 专家小郑，行业8年经验，价格由你来说我来谈,闵行龙柏金汇虹秀路78弄,227.17㎡,104768元/㎡,2011年建造,4室2厅4卫,共3层,2380万,南北满五年近地铁车位充足,南北
684a682cc11929bdd1fcec03,爱博四村 业主诚售 满五 低密度社区 南北通透看房有钥匙,闵行华漕天山西路4358弄,59.28㎡,31714元/㎡,2010年建造,1室1厅1卫,低层(共13层),188万,南北满五年户型方正,南北
684a682fc11929bdd1fcec04,古北新上大平层！俯瞰中心花园，中环内别墅小区，电梯中区景观,闵行金虹桥吴中路633弄,318.94㎡,48913元/㎡,2004年建造,5室2厅4卫,低层(共22层),1560万,南北满五年近地铁绿化率高,南北
684a682fc11929bdd1fcec05,抢！抢抢新上居家电梯大三房！看房方便业主置换新房家具家电全送,闵行七宝七莘路3333弄,97.18㎡,56082元/㎡,1994年建造,3室2厅2卫,低层(共7层),545万,南满五年近地铁,南
684a682fc11929bdd1fcec06,万科朗润园 低密宜居 中间楼层采光好 商业配套齐全 南北通透,闵行七宝新龙路1111弄,91.86㎡,68365元/㎡,2006年建造,2室2厅1卫,中层(共6层),628万,南北满五年近地铁采光较好,南北
684a6830c11929bdd1fcec07,电梯加装，三开间朝南，新装修，可接受置换,闵行七宝七莘路3333弄,97.18㎡,58449元/㎡,1994年建造,3室2厅2卫,高层(共7层),568万,南满五年近地铁采光较好,南
684a6830c11929bdd1fcec08,靶心位置 南北通透 精装修 近地铁 交通便捷 居住密度低,闵行古美罗阳顾戴路1325弄1-123号,86.73㎡,61686元/㎡,2005年建造,2室2厅1卫,低层(共6层),535万,南满五年近地铁,南
684a6830c11929bdd1fcec09,古美罗阳 医疗配套成熟 装修好 商业配套成熟 低密度社区,闵行古美罗阳古美西路628弄,65.59㎡,54582元/㎡,1997年建造,2室1厅1卫,中层(共6层),358万,南唯一住房近地铁采光较好,南
684a6830c11929bdd1fcec0a,商业配套齐全 密度低 交通便捷 中间楼层采光好 商品住宅,闵行七宝七莘路3333弄,73.87㎡,53879元/㎡,1994年建造,2室2厅1卫,高层(共7层),398万,东满五年近地铁采光较好,东
684a6831c11929bdd1fcec0b,电梯两房 高区采光好 产权清晰 正规商品房 一梯两户 随时看,闵行七宝七莘路3333弄,72.71㎡,60515元/㎡,1994年建造,2室2厅1卫,高层(共7层),440万,南满五年近地铁采光较好,南
684a6833c11929bdd1fcec0c,古美罗阳新时代花园3室2厅,闵行古美罗阳顾戴路1100弄,112.17㎡,71143元/㎡,2004年建造,3室2厅2卫,中层(共6层),798万,南满五年近地铁绿化率高,南
684a6833c11929bdd1fcec0d,古美罗阳 商品住宅 医疗配套成熟 大两居 近地铁,闵行古美罗阳顾戴路1199弄,87.98㎡,59673元/㎡,2004年建造,2室2厅1卫,低层(共6层),525万,南满五年近地铁采光较好,南
684a6833c11929bdd1fcec0e,七宝 满五 南北通透 商业配套成熟 刚需两居 商品房,闵行七宝沪松公路565弄1-114号,95.55㎡,52120元/㎡,2009年建造,2室2厅1卫,高层(共6层),498万,南北满五年近地铁采光较好,南北
684a6833c11929bdd1fcec0f,静安新城 商业配套成熟 高楼层采光充足 朝南 正规商品房,闵行静安新城漕宝路1467弄5区,72.51㎡,56407元/㎡,1996年建造,2室1厅1卫,高层(共6层),409万,南VIP房东直卖唯一住房近地铁,南
684a6834c11929bdd1fcec10,万科花园小城 中间楼层采光好 出行方便 大两房 南向采光好,闵行吴泾龙吴路5688弄,90.3㎡,40421元/㎡,2008年建造,2室2厅1卫,中层(共6层),365万,南满五年户型方正,南
684a6839c11929bdd1fcec11,房东因事急出！实地去看就知道南北通采光好视野好满五，看房随时,闵行春申莲花南路1108弄,89.25㎡,60393元/㎡,2005年建造,2室1厅1卫,低层(共6层),539万,南北满五年近地铁,南北
684a683ac11929bdd1fcec12,回忆江南三房精装修 中间楼层 业主独有委托 户型方正厨卫全明,闵行古美罗阳顾戴路1199弄,121.36㎡,63448元/㎡,2005年建造,3室2厅1卫,中层(共6层),770万,南北满五年近地铁,南北
684a683dc11929bdd1fcec13,这套房子您还看不上我敢说在古美您肯定就买不到合适的两房了！,闵行古美罗阳古美西路752弄,89.29㎡,59918元/㎡,2005年建造,2室2厅1卫,共5层,535万,南满五年近地铁采光较好,南
684a683ec11929bdd1fcec14,世博家园二街坊 满五 朝南 大两房 交通便利 商业配套成熟,闵行浦江浦申路633弄,93㎡,48388元/㎡,2005年建造,2室2厅1卫,中层(共11层),450万,南满五年近地铁采光较好,南
684a683ec11929bdd1fcec15,91平 东苑佳佳花园 朝南 3室2厅 满五 诚心出售 价格可,闵行古美罗阳报春路218弄,91.51㎡,41745元/㎡,1998年建造,3室2厅1卫,中层(共6层),382万,南满五年近地铁户型方正,南
684a683ec11929bdd1fcec16,平阳新村四街坊 满五 中间楼层采光好 商品住宅 商业配套成熟,闵行古美罗阳古美西路628弄,51.66㎡,58073元/㎡,1997年建造,2室0厅1卫,中层(共6层),300万,南满二年近地铁,南
684a683fc11929bdd1fcec17,中间楼层采光好 正南朝向 交通便捷 产权清晰,闵行古美罗阳古美西路86弄,83.18㎡,54821元/㎡,1993年建造,2室2厅1卫,中层(共6层),456万,南满二年近地铁采光较好,南
684a6840c11929bdd1fcec18,精装全送！电梯房！送产权车位！底价跟海一大！接受长期置换！,闵行七宝中春路8889弄55支弄,98.57㎡,61784元/㎡,2014年建造,3室2厅1卫,中层(共11层),609万,南北满五年近地铁绿化率高,南北
